P     N  Lbg | lands/h  p50min  p95min  maxmin | cpu/land   load rnd95
P340 K1 |    34.8    47.9    79.8 |      7.4
P340 K2 |    60.9     7.8    20.4 |      7.1
P340 K3 |    61.1     7.9    18.6 |      7.3
P58 K1 |    14.2     3.5     8.5 |      5.9
P58 K2 |    14.8     3.6     6.7 |      6.0
P58 K3 |    14.6     3.5     6.5 |      5.9
P515 K1 |    25.2     4.0    13.1 |      6.4
P515 K2 |    27.1     3.7     7.6 |      6.3
P515 K3 |    27.1     3.7     6.9 |      6.2
P525 K1 |    34.2    11.1    35.7 |      7.3
P525 K2 |    43.9     4.0     9.9 |      6.5
P525 K3 |    44.3     3.9     7.9 |      6.5
P540 K1 |    35.7    47.3    77.0 |      7.2
P540 K2 |    64.9     5.4    16.9 |      6.8
P540 K3 |    69.5     4.5     9.6 |      6.5

== FULL SUITE ONCE (C11: the hook may skip only on a full-suite token), background 150
cell   | lands/h  p50min  p95min | cpu/land
P1f8 K1 |     4.2     6.2   329.1 |     43.5
P5f8 K1 tf0.3 |    13.4     4.2    12.7 |      8.9
P5f8 K1 tf1.0 |    13.0     5.8    14.8 |      9.5
P1f15 K1 |     1.9    43.8  1355.1 |     96.1
P5f15 K1 tf0.3 |    23.3     7.8    17.6 |     10.2
P5f15 K1 tf1.0 |    22.8     9.2    18.9 |     10.0
P1f25 K1 |     1.3     0.2  1890.1 |    137.6
P5f25 K1 tf0.3 |    33.7    11.1    31.9 |      9.5
P5f25 K1 tf1.0 |    33.7    12.4    30.7 |      9.1
P1f40 K1 |     1.3     0.2  2001.8 |    139.6
P5f40 K1 tf0.3 |    36.5    42.7    73.8 |      9.2
P5f40 K1 tf1.0 |    35.3    41.9    72.4 |      9.0
P1f8 K2 |    11.6     4.0    43.7 |     19.6
P5f8 K2 tf0.3 |    13.9     4.2    11.2 |      8.9
P5f8 K2 tf1.0 |    13.7     5.4    13.0 |      9.1
P1f15 K2 |     3.6    40.3   873.6 |     98.8
P5f15 K2 tf0.3 |    24.9     7.0    13.2 |      9.2
P5f15 K2 tf1.0 |    23.5     8.2    14.3 |      9.3
P1f25 K2 |     2.3     0.2  1627.0 |    155.5
P5f25 K2 tf0.3 |    39.2     8.1    15.0 |      8.7
P5f25 K2 tf1.0 |    38.0     9.4    16.4 |      8.5
P1f40 K2 |     1.7     0.2  1956.9 |    216.9
P5f40 K2 tf0.3 |    59.8     9.3    19.1 |      7.6
P5f40 K2 tf1.0 |    57.8    10.7    21.5 |      7.5
P1f8 K3 |    12.1     3.8    35.7 |     18.6
P5f8 K3 tf0.3 |    13.5     4.4    11.6 |      9.2
P5f8 K3 tf1.0 |    13.5     5.6    13.1 |      9.5
P1f15 K3 |     6.3    11.0   434.8 |     85.3
P5f15 K3 tf0.3 |    24.9     7.2    12.7 |      9.4
P5f15 K3 tf1.0 |    23.6     8.5    14.3 |      9.4
P1f25 K3 |     3.5     0.2  1292.1 |    152.3
P5f25 K3 tf0.3 |    40.6     7.9    13.3 |      8.4
P5f25 K3 tf1.0 |    38.3     9.3    15.4 |      8.5
P1f40 K3 |     2.4     0.2  2259.9 |    225.0
P5f40 K3 tf0.3 |    61.0     8.5    14.5 |      7.6
P5f40 K3 tf1.0 |    58.8     9.9    17.5 |      7.4

== THE PLAN'S THREE STATES, background 150: PS = Phase 2 serialized lane · P5f = Phase 3 combiner · P5 = Phase 4 pruning
cell   | lands/h  p50min  p95min | cpu/land
PS8 T45 |     9.5     4.2    12.1 |      6.1
P5f8 T45 |     9.8     3.9    10.9 |      8.4
P58 T45 |     9.9     3.4     6.4 |      5.8
PS15 T45 |    16.5     6.7    19.0 |      6.0
P5f15 T45 |    17.4     5.7    12.2 |      9.3
P515 T45 |    18.5     3.5     7.0 |      5.8
PS25 T45 |    21.1    24.2    45.4 |      6.1
P5f25 T45 |    29.2     7.6    13.9 |      9.2
P525 T45 |    30.8     3.8     8.1 |      6.4
PS40 T45 |    20.8    66.1    92.5 |      6.2
P5f40 T45 |    44.7     8.6    16.0 |      8.5
P540 T45 |    48.7     4.2    11.2 |      6.6
PS8 T30 |    13.2     4.7    13.7 |      6.0
P5f8 T30 |    13.9     4.2    11.2 |      8.9
P58 T30 |    14.8     3.6     6.7 |      6.0
PS15 T30 |    20.1    12.1    29.2 |      6.1
P5f15 T30 |    24.9     7.0    13.2 |      9.2
P515 T30 |    27.1     3.7     7.6 |      6.3
PS25 T30 |    21.0    39.8    59.7 |      6.1
P5f25 T30 |    39.2     8.1    15.0 |      8.7
P525 T30 |    43.9     4.0     9.9 |      6.5
PS40 T30 |    21.4    77.9   107.4 |      6.0
P5f40 T30 |    59.8     9.3    19.1 |      7.6
